id,date,product,region,quantity,price,customer_id
1,2026-05-18 10:01:36.362806,Product_C,South,47.0,180.31,8094.0
2,2026-05-17 10:01:36.362806,Product_D,East,12.0,335.81,7318.0
3,2026-05-16 10:01:36.362806,Product_A,North,62.0,399.77,4796.0
4,2026-05-15 10:01:36.362806,Product_C,North,80.0,464.32,1234.0
5,2026-05-14 10:01:36.362806,Product_C,North,88.0,124.97,4607.0
6,2026-05-13 10:01:36.362806,Product_D,North,83.0,205.66,9043.0
7,2026-05-12 10:01:36.362806,Product_A,West,8.0,84.68,1522.0
8,2026-05-11 10:01:36.362806,Product_A,North,95.0,496.32,6904.0
9,2026-05-10 10:01:36.362806,Product_C,West,21.0,464.23,5888.0
10,2026-05-09 10:01:36.362806,Product_B,West,81.0,274.58,6832.0
11,2026-05-08 10:01:36.362806,Product_C,North,,422.6,8122.0
12,2026-05-07 10:01:36.362806,Product_C,North,,265.27,6842.0
13,2026-05-06 10:01:36.362806,Product_C,South,,315.56,2316.0
14,2026-05-05 10:01:36.362806,Product_C,East,,53.67,2124.0
15,2026-05-04 10:01:36.362806,Product_D,North,,380.08,6621.0
16,2026-05-03 10:01:36.362806,Product_A,South,,72.58,6423.0
17,2026-05-02 10:01:36.362806,Product_D,South,,414.77,3587.0
18,2026-05-01 10:01:36.362806,Product_D,East,,393.19,6672.0
19,2026-04-30 10:01:36.362806,Product_D,West,,357.28,2378.0
20,2026-04-29 10:01:36.362806,Product_C,North,,27.72,4374.0
21,2026-04-28 10:01:36.362806,Product_B,East,,158.53,2519.0
22,2026-04-27 10:01:36.362806,Product_A,North,26.0,138.93,6777.0
23,2026-04-26 10:01:36.362806,Product_B,South,47.0,186.47,8935.0
24,2026-04-25 10:01:36.362806,Product_D,South,32.0,52.94,7093.0
25,2026-04-24 10:01:36.362806,Product_D,West,10.0,469.11,9418.0
26,2026-04-23 10:01:36.362806,Product_B,South,16.0,281.36,6355.0
27,2026-04-22 10:01:36.362806,Product_B,South,71.0,159.71,5968.0
28,2026-04-21 10:01:36.362806,Product_B,East,17.0,204.52,6574.0
29,2026-04-20 10:01:36.362806,Product_D,North,23.0,229.13,5072.0
30,2026-04-19 10:01:36.362806,Product_D,North,26.0,304.29,3257.0
31,2026-04-18 10:01:36.362806,Product_A,East,85.0,262.68,9588.0
32,2026-04-17 10:01:36.362806,Product_A,West,86.0,460.5,5424.0
33,2026-04-16 10:01:36.362806,Product_D,North,7.0,253.51,4237.0
34,2026-04-15 10:01:36.362806,Product_B,South,14.0,496.16,4893.0
35,2026-04-14 10:01:36.362806,Product_B,North,79.0,427.2,3005.0
36,2026-04-13 10:01:36.362806,Product_A,South,7.0,112.17,3016.0
37,2026-04-12 10:01:36.362806,Product_D,West,9.0,465.99,2772.0
38,2026-04-11 10:01:36.362806,Product_A,East,48.0,67.02,9353.0
39,2026-04-10 10:01:36.362806,Product_A,North,72.0,410.55,4976.0
40,2026-04-09 10:01:36.362806,Product_C,East,59.0,196.51,2751.0
41,2026-04-08 10:01:36.362806,Product_C,North,87.0,440.21,9967.0
42,2026-04-07 10:01:36.362806,Product_C,South,93.0,435.35,8430.0
43,2026-04-06 10:01:36.362806,Product_B,East,82.0,404.9,8170.0
44,2026-04-05 10:01:36.362806,Product_D,North,95.0,397.11,7469.0
45,2026-04-04 10:01:36.362806,Product_D,South,94.0,159.29,4220.0
46,2026-04-03 10:01:36.362806,Product_D,East,39.0,49.65,1539.0
47,2026-04-02 10:01:36.362806,Product_D,East,99.0,207.46,2461.0
48,2026-04-01 10:01:36.362806,Product_C,North,18.0,95.03,6184.0
49,2026-03-31 10:01:36.362806,Product_B,North,59.0,350.53,9547.0
50,2026-03-30 10:01:36.362806,Product_B,North,17.0,179.59,1234.0
51,2026-03-29 10:01:36.362806,Product_C,South,14.0,,2548.0
52,2026-03-28 10:01:36.362806,Product_B,North,31.0,,8480.0
